"ID";"DTM";"P";"T";"RM"
"HRADISTE";1923-06-15;88.53;10.111;14.381
"HRADISTE";1923-07-15;89.5;16.476;12.431
"HRADISTE";1923-08-15;129.84;14.974;13.823
"HRADISTE";1923-09-15;179.77;11.67;53.816
"HRADISTE";1923-10-15;120.1;8.765;53.138
"HRADISTE";1923-11-15;21.38;0.969;33.094
"HRADISTE";1923-12-15;50.36;-4.735;28.037
"HRADISTE";1924-01-15;74.53;-6.302;22.467
"HRADISTE";1924-02-15;52.54;-6.255;18.637
"HRADISTE";1924-03-15;53.43;-0.444;22.125
"HRADISTE";1924-04-15;72.14;4.603;76.339
"HRADISTE";1924-05-15;29.14;12.095;33.567
"HRADISTE";1924-06-15;100.95;13.14;31.814
"HRADISTE";1924-07-15;47.56;14.959;19.898
"HRADISTE";1924-08-15;47.9;13.065;14.906
"HRADISTE";1924-09-15;54.13;12.338;11.581
"HRADISTE";1924-10-15;98.99;6.752;14.416
"HRADISTE";1924-11-15;35.55;-0.317;16.36
"HRADISTE";1924-12-15;45.87;-4.201;14.886
"HRADISTE";1925-01-15;12.19;-1.874;17.222
"HRADISTE";1925-02-15;49.76;-0.075;20.453
"HRADISTE";1925-03-15;22.67;-0.926;21.559
"HRADISTE";1925-04-15;109.7;6.161;52.069
"HRADISTE";1925-05-15;96.61;11.818;31.546
"HRADISTE";1925-06-15;80.16;12.727;23.215
"HRADISTE";1925-07-15;110.14;15.196;22.149
"HRADISTE";1925-08-15;81.07;14.78;15.036
"HRADISTE";1925-09-15;52.91;10.093;9.801
"HRADISTE";1925-10-15;18.97;6.281;6.347
"HRADISTE";1925-11-15;49.41;-0.077;6.982
"HRADISTE";1925-12-15;88.24;-4.223;8.999
"HRADISTE";1926-01-15;17.2;-4.336;10.029
"HRADISTE";1926-02-15;39.4;0.909;30.16
"HRADISTE";1926-03-15;53.09;1.674;46.346
"HRADISTE";1926-04-15;63.74;7.106;38.462
"HRADISTE";1926-05-15;81.35;9.767;26.643
"HRADISTE";1926-06-15;98.06;11.766;25.161
"HRADISTE";1926-07-15;154.02;15.118;41.094
